"","YEAR","PID","CLASS_TYPE","AREA","FRAC","PROX","ENN","CLASS_NAME"
"185",2023,1877,"cls_3",0.2042,1.0155,9863.1325,71.4424,"Pasture"
"186",2023,1923,"cls_3",1.9395,1.123,28465.6428,63.9,"Pasture"
"187",2023,1925,"cls_3",0.3062,1.0358,9117.1086,71.4424,"Pasture"
"188",2023,1926,"cls_3",0.8166,1.1031,6246.3715,225.9206,"Pasture"
"189",2023,1964,"cls_3",1.8374,1.0706,31195.74,101.0348,"Pasture"
"190",2023,1979,"cls_3",0.3062,1.0358,9396.0737,95.85,"Pasture"
"191",2023,1985,"cls_3",1.225,1.0306,10717.0998,63.9,"Pasture"
"192",2023,2007,"cls_3",0.1021,1,11243.8623,101.0348,"Pasture"
"193",2023,2021,"cls_3",0.1021,1,19737.5341,71.4424,"Pasture"
"194",2023,2050,"cls_3",3.2666,1.1096,28070.8501,63.9,"Pasture"
"195",2023,2076,"cls_3",4.2874,1.1232,28070.498,63.9,"Pasture"
"196",2023,2147,"cls_3",2.4499,1.0971,34909.1248,95.85,"Pasture"
"197",2023,2155,"cls_3",1.4291,1.0805,2818.3669,202.0695,"Pasture"
"198",2023,2220,"cls_3",0.4083,1.0537,41383.7194,63.9,"Pasture"
"199",2023,2225,"cls_3",0.1021,1,33486.2068,63.9,"Pasture"
"200",2023,2231,"cls_3",0.1021,1,14039.9482,90.3682,"Pasture"
"201",2023,2235,"cls_3",0.1021,1,33492.9652,63.9,"Pasture"
"202",2023,2253,"cls_3",18.7828,1.1194,6248.5105,127.8,"Pasture"
"203",2023,2270,"cls_3",0.7146,1.0932,23999.3863,115.1974,"Pasture"
"204",2023,2271,"cls_3",29.195,1.0937,88170.0671,63.9,"Pasture"
"205",2023,2277,"cls_3",1.1229,1.1443,2652.1478,131.7332,"Pasture"
"206",2023,2286,"cls_3",2.6541,1.0758,14593.6773,63.9,"Pasture"
"207",2023,2304,"cls_3",0.1021,1,22469.0968,71.4424,"Pasture"
"208",2023,2305,"cls_3",0.8166,1.1031,770.3727,71.4424,"Pasture"
"209",2023,2306,"cls_3",0.6125,1.0465,876.6847,71.4424,"Pasture"
"210",2023,2333,"cls_3",0.1021,1,78032.5977,63.9,"Pasture"
"211",2023,2338,"cls_3",1.225,1.078,33822.9334,63.9,"Pasture"
"212",2023,2342,"cls_3",1.0208,1.0509,33035.9559,63.9,"Pasture"
"213",2023,2348,"cls_3",0.2042,1.0155,30346.2427,63.9,"Pasture"
"214",2023,2355,"cls_3",1.225,1.0556,62456.4062,71.4424,"Pasture"
"215",2023,2357,"cls_3",0.3062,1.0358,12015.9752,71.4424,"Pasture"
"216",2023,2369,"cls_3",0.2042,1.0155,6992.2302,90.3682,"Pasture"
"217",2023,2393,"cls_3",0.3062,1.0358,11418.9172,63.9,"Pasture"
"218",2023,2410,"cls_3",7832.7197,1.2291,172974.0094,63.9,"Pasture"
"219",2023,2419,"cls_3",0.3062,1.0358,10870.2256,63.9,"Pasture"
"220",2023,2427,"cls_3",0.5104,1.0688,15603.6331,142.8847,"Pasture"
"221",2023,2448,"cls_3",0.7146,1.0631,6281.9216,135.5524,"Pasture"
"222",2023,2449,"cls_3",0.3062,1.0914,22111.9434,63.9,"Pasture"
"223",2023,2462,"cls_3",1.327,1.0467,5214.5395,101.0348,"Pasture"
"224",2023,2477,"cls_3",0.4083,1.0975,26493.4163,63.9,"Pasture"
"225",2023,2480,"cls_3",1.5312,1.1075,29922.0483,63.9,"Pasture"
"226",2023,2481,"cls_3",0.2042,1.0155,12334.1557,63.9,"Pasture"
"227",2023,2484,"cls_3",55.3275,1.1272,7071.9864,127.8,"Pasture"
"228",2023,2486,"cls_3",5.6144,1.0802,11337.4697,63.9,"Pasture"
